id,lat,long,dailyImpacts,monthlyImpacts,value,CPM30,CPM14,CPM7,CPM1
47,-23.41889330,-47.21207760,162.977,4.889.310,"R$ 9.000,00","R$ 1,84","R$ 3,94","R$ 7,89","R$ 55,22"
48,-23.40635590,-47.29791810,170.942,5.128.260,"R$ 9.000,00","R$ 1,75","R$ 3,76","R$ 7,52","R$ 52,65"
49,-23.40209610,-47.32756730,178.158,5.344.740,"R$ 9.000,00","R$ 1,68","R$ 3,61","R$ 7,22","R$ 50,52"
52,-23.29093590,-47.74104500,162.775,4.883.250,"R$ 6.000,00","R$ 1,23","R$ 2,63","R$ 5,27","R$ 36,86"
53,-23.28317190,-47.79683800,162.203,4.866.090,"R$ 6.000,00","R$ 1,23","R$ 2,64","R$ 5,28","R$ 36,99"
55,-23.75207040,-46.59475780,308.072,9.242.160,"R$ 9.000,00","R$ 0,97","R$ 2,09","R$ 4,17","R$ 29,21"
56,-23.75323230,-46.59431430,304.946,9.148.380,"R$ 9.000,00","R$ 0,98","R$ 2,11","R$ 4,22","R$ 29,51"
58,-23.80270820,-46.58999870,177.621,5.328.630,"R$ 9.000,00","R$ 1,69","R$ 3,62","R$ 7,24","R$ 50,67"
59,-23.80445630,-46.58920100,175.775,5.273.250,"R$ 9.000,00","R$ 1,71","R$ 3,66","R$ 7,31","R$ 51,20"
60,-23.80834950,-46.58720390,173.345,5.200.350,"R$ 9.000,00","R$ 1,73","R$ 3,71","R$ 7,42","R$ 51,92"
61,-23.81140710,-46.58580650,172.712,5.181.360,"R$ 9.000,00","R$ 1,74","R$ 3,72","R$ 7,44","R$ 52,11"
74,-23.56007080,-47.84022340,162.067,4.862.010,"R$ 4.500,00","R$ 0,93","R$ 1,98","R$ 3,97","R$ 27,77"
88,-23.46386870,-47.41477700,228.453,6.853.590,"R$ 7.000,00","R$ 1,02","R$ 2,19","R$ 4,38","R$ 30,64"
114,-23.48335210,-47.97504840,161.886,4.856.580,"R$ 4.500,00","R$ 0,93","R$ 1,99","R$ 3,97","R$ 27,80"
116,-23.53617140,-47.96429900,162.136,4.864.080,"R$ 4.500,00","R$ 0,93","R$ 1,98","R$ 3,96","R$ 27,75"
120,-23.29772500,-46.84138970,175.209,5.256.270,"R$ 9.000,00","R$ 1,71","R$ 3,67","R$ 7,34","R$ 51,37"
121,-23.22883500,-46.89945700,235.362,7.060.860,"R$ 9.000,00","R$ 1,27","R$ 2,73","R$ 5,46","R$ 38,24"
160,-23.53617140,-47.96429900,162.136,4.864.080,"R$ 4.500,00","R$ 0,93","R$ 1,98","R$ 3,96","R$ 27,75"
161,-22.78168300,-47.23178520,215.561,6.466.830,"R$ 7.000,00","R$ 1,08","R$ 2,32","R$ 4,64","R$ 32,47"
162,-23.25807100,-47.87337940,162.037,4.861.110,"R$ 6.000,00","R$ 1,23","R$ 2,64","R$ 5,29","R$ 37,03"
264,-23.48876610,-46.98971990,174.783,5.243.490,"R$ 9.000,00","R$ 1,72","R$ 3,68","R$ 7,36","R$ 51,49"
266,-23.11320630,-46.95774150,194.282,5.828.460,"R$ 9.000,00","R$ 1,54","R$ 3,31","R$ 6,62","R$ 46,32"
269,-23.42309030,-47.15404640,162.887,4.886.610,"R$ 9.000,00","R$ 1,84","R$ 3,95","R$ 7,89","R$ 55,25"
283,-23.35649510,-47.88091930,195.891,5.876.730,"R$ 4.500,00","R$ 0,77","R$ 1,64","R$ 3,28","R$ 22,97"
288,-23.71603180,-46.60524320,454.916,13.647.480,"R$ 9.000,00","R$ 0,66","R$ 1,41","R$ 2,83","R$ 19,78"
289,-23.71603180,-46.60524320,454.916,13.647.480,"R$ 9.000,00","R$ 0,66","R$ 1,41","R$ 2,83","R$ 19,78"
310,-23.15067060,-48.39136120,161.884,4.856.520,"R$ 6.000,00","R$ 1,24","R$ 2,65","R$ 5,29","R$ 37,06"
314,-23.60252500,-48.04402560,205.449,6.163.470,"R$ 4.500,00","R$ 0,73","R$ 1,56","R$ 3,13","R$ 21,90"
315,-23.32728540,-47.83898730,195.723,5.871.690,"R$ 4.500,00","R$ 0,77","R$ 1,64","R$ 3,28","R$ 22,99"
334,-23.20150480,-46.92742250,240.177,7.205.310,"R$ 9.000,00","R$ 1,25","R$ 2,68","R$ 5,35","R$ 37,47"
335,-23.19910770,-46.92824340,240.378,7.211.340,"R$ 9.000,00","R$ 1,25","R$ 2,67","R$ 5,35","R$ 37,44"
336,-23.50368080,-47.41251910,262.626,7.878.780,"R$ 7.000,00","R$ 0,89","R$ 1,90","R$ 3,81","R$ 26,65"
