id,name,latitude,longitude,kind,media
500695,"AV. PEREIRA INÁCIO, 2280- II",-23.525955,-47.450254,URBANO,OUTDOOR
500697,AV. MARIO CAMPOLIM - LADO JUST INTERCAMBIOS,-23.525203,-47.463328,URBANO,OUTDOOR
500698,AV.AFONSO VERGUEIRO- PROX.PADARIA REAL-SENT.CENTRO,"-23.501823,",-47.478891,URBANO,OUTDOOR
500699,AV.AFONSO VERGUEIRO- PROX.PAD. REAL- SENT.BAIRRO I,-23.501876,-47.479008,URBANO,OUTDOOR
500700,AV.AFONSO VERGUEIRO-PROX.PAD. REAL- SENT.BAIRRO II,-23.501876,-47.479084,URBANO,OUTDOOR
500701,AV.ARMANDO PANNUNZIO - FTE VALEC/RENAULT/NISSAN I,-23.519770,-47.490468,URBANO,OUTDOOR
500702,AV.ARMANDO PANNUNZIO - FTE VALEC/RENAULT/NISSAN II,-23.519831,-47.490495,URBANO,OUTDOOR
500703,AV.ARMANDO PANNUNZIO -FTE VALEC/RENAULT/NISSAN III,-23.519900, -47.490516,URBANO,OUTDOOR
500704,AV.ARMANDO PANNUNZIO- FTE VALEC/RENAULT/NISSAN IV,-23.519966,-47.490537,URBANO,OUTDOOR
500711,"AV.IPANEMA, N°1760-  SENT. CENTRO",-23.478543,-47.483534,URBANO,OUTDOOR
500712,"AV.IPANEMA, N°1760-  SENT. BAIRRO",-23.478543,-47.483534,URBANO,OUTDOOR
500713,"AV.INDEPENDENCIA,ALTURA N° 2400-SENT. EDEN - I",-23.448772,-47.417886,URBANO,OUTDOOR
500714,"AV.INDEPENDENCIA,ALTURA N° 2400 - SENT. EDEN -II",-23.448772,-47.417886,URBANO,OUTDOOR
500715,"AV.INDEPENDENCIA,ALTURA N° 2400- SENT. CENTRO - I",-23.447279,-47.417687,URBANO,OUTDOOR
500716,"AV.INDEPENDENCIA, ALTURA N° 2400- SENT. CENTRO- II",-23.447279,-47.417687,URBANO,OUTDOOR
500727,"AV.J.J.LACERDA,ALT.N°1100- FRENTE EXTRA SUPERMERCADOS- SENT.BAIRRO I",-23.481661,-47.459058,URBANO,OUTDOOR
500728,"AV.J.J.LACERDA,ALT.N°1100- FRENTE EXTRA SUPERMERCADOS - SENT.CENTRO II",-23.481638,-47.459093,URBANO,OUTDOOR
500729,"RUA HORÁCIO CENCI, N° 67 - PARQUE CAMPOLIM",-23.530861,-47.466115,URBANO,OUTDOOR
